Month,Day,Year,Acceptable Start Hour,Acceptable Start Minute,Optimal Start Hour,Optimal Start Minute,Optimal Stop Hour,Optimal Stop Minute,Acceptable Stop Hour,Acceptable Stop Minute
3,4,2013,19,47,20,58,22,29,23,42
3,5,2013,19,42,20,55,22,26,23,37
3,6,2013,19,38,20,51,22,22,23,33
3,7,2013,19,35,20,46,22,17,23,30
3,8,2013,19,30,20,43,22,14,23,25
3,9,2013,19,29,20,38,22,10,23,22
3,10,2013,20,30,21,34,23,5,24,18
3,11,2013,20,32,21,31,23,2,24,13
3,12,2013,20,33,21,26,22,57,24,10
3,13,2013,20,33,21,22,22,53,24,6
3,14,2013,20,34,21,19,22,50,24,2
3,15,2013,20,35,21,15,22,47,23,59
3,16,2013,20,36,21,11,22,42,23,55
3,17,2013,20,37,21,8,22,39,23,50
3,18,2013,20,37,0,0,0,0,23,47
3,19,2013,20,37,0,0,0,0,23,42
3,20,2013,20,38,0,0,0,0,23,38
3,21,2013,20,39,0,0,0,0,23,35
3,22,2013,20,39,0,0,0,0,23,30
3,23,2013,20,40,0,0,0,0,23,26
3,24,2013,20,41,0,0,0,0,23,23
3,25,2013,20,42,0,0,0,0,23,18
3,26,2013,20,44,0,0,0,0,23,15
3,27,2013,20,44,0,0,0,0,23,11
3,28,2013,20,45,20,45,21,12,23,6
3,29,2013,20,46,20,46,21,52,23,3
3,30,2013,20,47,20,47,21,47,23,0
4,0,2013,20,48,20,48,21,44,22,55
4,1,2013,20,48,20,48,21,40,22,52
4,2,2013,20,48,20,48,21,35,22,48
4,3,2013,20,49,20,49,21,32,22,43
4,4,2013,20,50,20,50,21,27,22,40
4,5,2013,20,51,20,51,21,23,22,36
4,6,2013,20,52,20,52,21,20,22,31
4,7,2013,20,53,20,53,21,15,22,28
4,8,2013,20,55,20,55,21,11,22,23
4,9,2013,20,55,20,55,21,8,22,19
4,10,2013,20,56,20,56,21,3,22,16
4,11,2013,20,57,20,57,21,0,22,11
4,12,2013,20,58,0,0,0,0,22,7
4,13,2013,20,59,0,0,0,0,22,5
4,14,2013,21,0,0,0,0,0,22,0
4,15,2013,21,0,0,0,0,0,21,56
4,16,2013,21,1,0,0,0,0,21,53
4,17,2013,21,2,0,0,0,0,21,48
4,18,2013,21,3,0,0,0,0,21,45
4,19,2013,21,4,0,0,0,0,21,41
4,20,2013,21,6,0,0,0,0,21,36
4,21,2013,21,7,0,0,0,0,21,33
4,22,2013,21,8,0,0,0,0,21,29
4,23,2013,21,8,0,0,0,0,21,24
4,24,2013,21,9,0,0,0,0,21,21
4,25,2013,21,10,0,0,0,0,21,17
4,26,2013,21,11,0,0,0,0,21,12
